Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,id
73,Quinten Post,Dec 27 '24 GSW @ LAC,24,1,42,686,123,274,73,179,21,27,35,148,56,16,18,33,83,340,.449,.408,.778,16.3,8.1,3.5,1.3,0.4,0.4,postqu01
74,Zyon Pullin,Feb 3 '25 MEM vs. SAS,23,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0,pullizy01
75,Alex Reese,Oct 27 '24 OKC vs. ATL,25,1,15,216,26,54,15,41,9,12,9,47,4,10,10,6,21,76,.481,.366,.750,14.4,5.1,3.1,0.3,0.7,0.7,reeseal01
76,Antonio Reeves,Oct 23 '24 NOP vs. CHI,24,1,44,660,113,248,51,129,28,35,18,63,39,21,4,30,40,305,.456,.395,.800,15.0,6.9,1.4,0.9,0.5,0.1,reevean01
77,Zaccharie Risacher,Oct 23 '24 ATL vs. BRK,19,1,75,1843,357,779,122,344,106,149,86,268,92,52,37,92,149,942,.458,.355,.711,24.6,12.6,3.6,1.2,0.7,0.5,risacza01
78,Liam Robbins,Oct 31 '24 MIL @ MEM,25,1,13,57,2,8,0,2,5,10,7,12,2,2,2,6,9,9,.250,.000,.500,4.4,0.7,0.9,0.2,0.2,0.2,robbili01
79,Jackson Rowe,Feb 5 '25 GSW @ UTA,28,1,6,52,8,17,3,10,3,6,3,11,4,4,0,1,4,22,.471,.300,.500,8.7,3.7,1.8,0.7,0.7,0.0,roweja01
80,Tidjane Salaün,Oct 26 '24 CHO vs. MIA,19,1,60,1244,114,345,58,205,67,94,70,280,74,29,14,58,84,353,.330,.283,.713,20.7,5.9,4.7,1.2,0.5,0.2,salauti01
81,Alex Sarr,Oct 24 '24 WAS vs. BOS,19,1,67,1814,326,828,105,341,112,165,124,435,161,44,101,114,146,869,.394,.308,.679,27.1,13.0,6.5,2.4,0.7,1.5,sarral01
82,Baylor Scheierman,Oct 24 '24 BOS @ WAS,24,1,31,384,39,110,26,82,9,12,19,65,33,17,2,12,22,113,.355,.317,.750,12.4,3.6,2.1,1.1,0.5,0.1,scheiba01
83,Terrence Shannon Jr.,Nov 2 '24 MIN @ SAS,24,1,32,339,55,114,11,31,17,21,10,47,32,7,5,15,27,138,.482,.355,.810,10.6,4.3,1.5,1.0,0.2,0.2,shannte01
84,Jamal Shead,Oct 23 '24 TOR vs. CLE,22,1,75,1467,204,504,72,223,53,69,30,115,316,58,10,117,158,533,.405,.323,.768,19.6,7.1,1.5,4.2,0.8,0.1,sheadja01
85,Reed Sheppard,Oct 23 '24 HOU vs. CHO,20,1,52,654,84,239,48,142,13,16,16,78,75,35,17,37,53,229,.351,.338,.813,12.6,4.4,1.5,1.4,0.7,0.3,sheppre01
86,KJ Simpson,Nov 4 '24 CHO @ MIN,22,1,36,842,104,301,33,130,41,50,39,109,112,34,6,56,56,282,.346,.254,.820,23.4,7.8,3.0,3.1,0.9,0.2,simpskj01
87,Jaylen Sims,Apr 4 '25 CHO vs. SAC,26,1,6,112,12,28,6,15,12,15,3,6,12,3,1,8,10,42,.429,.400,.800,18.7,7.0,1.0,2.0,0.5,0.2,simsja01
