Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,id
Nae'Qwan Tomlin,Feb 20 '25 CLE @ BRK,24,1,5,63,13,32,2,10,8,11,9,21,2,0,1,2,9,36,0.406,0.2,0.727,tomlina01
Armel Traoré,Nov 16 '24 LAL @ NOP,22,1,9,67,6,19,0,7,2,7,2,15,1,4,2,3,6,14,0.316,0.0,0.286,armeltr01
Luke Travers,Nov 1 '24 CLE vs. ORL,23,1,12,88,5,20,0,9,2,2,8,20,8,1,1,8,6,12,0.25,0.0,1.0,travelu01
Jaylon Tyson,Oct 23 '24 CLE @ TOR,22,1,47,453,64,149,20,58,19,24,37,96,44,13,3,26,50,167,0.43,0.345,0.792,tysonja01
Keaton Wallace,Oct 27 '24 ATL @ OKC,25,1,31,501,65,162,27,82,11,11,7,50,81,28,9,33,39,168,0.401,0.329,1.0,wallake01
Ja'Kobe Walter,Nov 1 '24 TOR vs. LAL,20,1,52,1103,159,393,65,186,66,83,59,160,81,43,10,50,95,449,0.405,0.349,0.795,walteja01
Kel'el Ware,Oct 23 '24 MIA vs. ORL,20,1,64,1422,257,464,35,111,46,67,116,473,60,39,71,57,111,595,0.554,0.315,0.687,wareke01
Anton Watson,Mar 10 '25 NYK @ SAC,24,1,9,22,4,9,0,1,0,0,1,3,2,1,0,2,3,8,0.444,0.0,,watsoan02
Jaylen Wells,Oct 23 '24 MEM @ UTA,21,1,79,2043,287,676,138,392,111,135,87,268,135,44,8,69,146,823,0.425,0.352,0.822,wellsja01
Phillip Wheeler,Mar 26 '25 PHI vs. WAS,22,1,5,44,3,21,0,10,2,2,2,8,2,1,2,1,1,8,0.143,0.0,1.0,wheelph02
Cody Williams,Oct 23 '24 UTA vs. MEM,20,1,50,1060,83,257,35,135,29,40,27,113,59,23,16,44,95,230,0.323,0.259,0.725,willico04
Jahmir Young,Mar 4 '25 CHI vs. CLE,24,1,6,30,4,5,1,2,2,2,1,3,6,0,0,1,2,11,0.8,0.5,1.0,youngja05
